"label","name","super_class","is_extendable","sys_updated_on"
"Diagram Instances","sn_diagram_builder_instance","Application File","false","2024-05-16 12:19:51"
"Node Connector","sn_diagram_builder_node_connector","Application File","false","2024-05-16 12:19:50"
"Node Type","sn_diagram_builder_node_type","Application File","false","2024-05-16 12:19:53"
"Node Type Attribute","sn_diagram_builder_node_type_attribute","Application File","false","2024-05-16 12:19:53"
"Node Type Context Menu Option","sn_diagram_builder_node_type_context_menu_option_m2m","Application File","false","2024-05-16 12:19:53"
"Node Type Handler","sn_diagram_builder_node_type_handler","Application File","false","2024-05-16 12:19:52"
"Shape","sn_diagram_builder_shape","Application File","false","2024-05-16 12:19:51"
"Shape Property","sn_diagram_builder_shape_property","Application File","false","2024-05-16 12:19:51"
"Shape Property Override","sn_diagram_builder_shape_property_override","Application File","false","2024-05-16 12:19:50"
"Dependent Shape Template To Property Override","sn_diagram_builder_shape_property_override_to_shape_template","Application File","false","2024-05-16 12:19:50"
"Dependent Shape Template To Property","sn_diagram_builder_shape_property_to_shape_template","Application File","false","2024-05-16 12:19:53"
"Shape Template","sn_diagram_builder_shape_template","Application File","false","2024-05-16 12:19:52"
"Shape Template Map","sn_diagram_builder_shape_template_m2m","Application File","false","2024-05-16 12:19:52"
"Spot","sn_diagram_builder_spot","Application File","false","2024-05-16 12:19:53"
"UI Action","sn_diagram_builder_ui_action","Application File","true","2024-05-16 12:19:50"
"Docker Credentials","sn_docker_spoke_docker_repositories_list","Credentials","false","2024-05-16 12:23:52"
"Docker Webhook Answer Subflow","sn_docker_spoke_docker_webhook_answer_subflow","","false","2024-05-16 12:23:51"
"Docker Webhook Registry","sn_docker_spoke_docker_webhook_registry","","false","2024-05-16 12:23:51"
"Docker Images","sn_docker_spoke_images","","false","2024-05-16 12:23:51"
"Employee Profile AI Configuration","sn_employee_ai_configuration","Application File","false","2024-05-16 12:22:58"
"Employee Licensed Application","sn_employee_app","Application File","false","2024-05-16 12:22:56"
"Employee Application Access","sn_employee_app_access","","false","2024-05-16 12:22:56"
"Employee Application Access Criteria","sn_employee_app_access_criteria","Application File","false","2024-05-16 12:22:56"
"Employee Definition","sn_employee_definition","Application File","false","2024-05-16 12:22:55"
"Job Tracker","sn_employee_job_tracker","","false","2024-05-16 12:22:58"
"Tab Widget Section Configuration","sn_employee_m2m_tabwidget_section","Application File","false","2024-05-16 12:22:55"
"Overview Section","sn_employee_overview_section","Application File","false","2024-05-16 12:22:57"
"Overview Section Field","sn_employee_overview_section_field","Application File","false","2024-05-16 12:22:58"
"Available for Overview Section Field","sn_employee_overview_section_field_user_criteria_mtom","Application File","false","2024-05-16 12:22:58"
"Not Available for Overview Section Field","sn_employee_overview_section_field_user_criteria_no_mtom","Application File","false","2024-05-16 12:22:56"
"Employee Job Profile","sn_employee_position","","false","2024-05-16 12:22:55"
"Employee Job Profile Staging","sn_employee_position_stg","Import Set Row","false","2024-05-16 12:22:56"
"Employee Profile","sn_employee_profile","","false","2024-05-16 12:22:57"
"Employee Profile Header Configuration","sn_employee_profile_header_configuration","Application File","false","2024-05-16 12:22:56"
"Tab","sn_employee_tab","Application File","false","2024-05-16 12:22:57"
"Tab Widget Mapping","sn_employee_tab_widget_mapping","Application File","false","2024-05-16 12:22:57"
"Available for Widget Mapping","sn_employee_widget_mapping_user_criteria_mtom","Application File","false","2024-05-16 12:22:57"
"Not Available for Widget Mapping","sn_employee_widget_mapping_user_criteria_no_mtom","Application File","false","2024-05-16 12:22:57"
"Subscription Application Family","sn_entitlement_st_subscription_application_family","","false","2024-05-16 12:20:41"
"Subscription Application Users","sn_entitlement_st_subscription_application_users","","false","2024-05-16 12:20:39"
"Action","sn_ex_sp_action","Application File","false","2024-05-16 12:22:52"
"Action group","sn_ex_sp_action_group","Application File","false","2024-05-16 12:22:54"
"Action parameter","sn_ex_sp_action_parameter","Application File","false","2024-05-16 12:22:53"
"Action Type","sn_ex_sp_action_type","Application File","false","2024-05-16 12:22:55"
"Activity Configuration","sn_ex_sp_activity_configuration","Application File","false","2024-05-16 12:22:49"
"Activity Configuration Detail","sn_ex_sp_activity_config_detail","Application File","false","2024-05-16 12:22:52"
"Activity Access","sn_ex_sp_activity_user_criteria_mtom","","false","2024-05-16 12:22:54"
"External Link","sn_ex_sp_external_link","","false","2024-05-16 12:22:52"
"External Link Available for","sn_ex_sp_ext_link_user_criteria_mtom","","false","2024-05-16 12:22:50"
"External Link Not Available for","sn_ex_sp_ext_link_user_criteria_no_mtom","","false","2024-05-16 12:22:51"
"Favorite Content Configuration","sn_ex_sp_favorite_content_config","Application File","false","2024-05-16 12:22:54"
"Favorite Content Type","sn_ex_sp_favorite_content_type","Application File","false","2024-05-16 12:22:51"
"Employee Center Footer","sn_ex_sp_footer","Application File","false","2024-05-16 12:22:55"
"Employee Center Footer Menu","sn_ex_sp_footer_menu","Application File","false","2024-05-16 12:22:50"
"Get Support","sn_ex_sp_get_support","","false","2024-05-16 12:22:53"
"Action group M2M","sn_ex_sp_m2m_action_group","Application File","false","2024-05-16 12:22:50"
"Navigation menu item M2M Quick link","sn_ex_sp_m2m_portal_navigation_item_quicklink","","false","2024-05-16 12:22:52"
"Advanced Portal Navigation","sn_ex_sp_portal_extensible_navigation","Application File","false","2024-05-16 12:22:53"
"Navigation menu item","sn_ex_sp_portal_extensible_navigation_item","Application File","false","2024-05-16 12:22:51"
"Quick Link","sn_ex_sp_quick_link","","false","2024-05-16 12:22:52"
"Quick Link Available for","sn_ex_sp_quick_link_user_criteria_mtom","","false","2024-05-16 12:22:54"
"Static Content","sn_ex_sp_static_content","","false","2024-05-16 12:22:54"
"Static Content Available For","sn_ex_sp_static_content_user_criteria_mtom","","false","2024-05-16 12:22:51"
"Static Content Not Available For","sn_ex_sp_static_content_user_criteria_no_mtom","","false","2024-05-16 12:22:54"
"Favorite (App Use)","sn_ex_sp_st_favorite","","false","2024-05-16 12:22:51"
"Task Configuration","sn_ex_sp_task_configuration","Application File","false","2024-05-16 12:22:55"
"Tab Configuration","sn_ex_sp_task_tab_configuration","Application File","false","2024-05-16 12:22:53"
"To-do Configuration Detail","sn_ex_sp_todo_config_detail","Application File","false","2024-05-16 12:22:50"
"Topic Metric","sn_ex_sp_topic_metric","","false","2024-05-16 12:22:53"
"FDIH dashboard tabs","sn_fdih_dashboards_tabs","","false","2024-05-16 12:19:15"
"Goal Assigned Entity Configuration","sn_gf_assigned_entity_config","Application File","false","2024-05-16 12:31:01"
"Core Goal","sn_gf_core_goal","","true","2024-05-16 12:30:59"
"Goal","sn_gf_goal","Core Goal","false","2024-05-16 12:31:01"
"Goal Relationship","sn_gf_goal_m2m_relationship","","false","2024-05-16 12:31:01"
"Target","sn_gf_goal_target","","true","2024-05-16 12:31:01"
"Target Progress","sn_gf_goal_target_progress","","false","2024-05-16 12:31:00"
"Strategic Priority","sn_gf_strategy","","true","2024-05-16 12:31:00"
"Unit","sn_gf_units","","false","2024-05-16 12:31:00"
"GAC Spreadsheet File","sn_g_app_creator_spreadsheet_file","","false","2024-05-16 12:05:25"
"ESC Portal Configuration","sn_hr_sp_esc_portal_config","Application File","false","2024-05-16 12:11:46"
"Pre-Chat Survey Configuration","sn_hr_sp_pre_chat_survey_config","Application File","false","2024-05-16 12:29:09"
"Relevant For You (App Use)","sn_hr_sp_st_relevant_for_you","","false","2024-05-16 12:22:49"
"To-dos Configuration","sn_hr_sp_todos_config","Application File","false","2024-05-16 12:11:45"
"To-dos Widget Mapping","sn_hr_sp_todos_widget_mapping","Application File","false","2024-05-16 12:11:45"
"To-do filter","sn_hr_sp_todo_filter","Application File","false","2024-05-16 12:11:46"
"To-do filter category","sn_hr_sp_todo_filter_category","Application File","false","2024-05-16 12:11:45"
"To-dos config filter condition","sn_hr_sp_todo_filter_condition","Application File","false","2024-05-16 12:11:45"
"To-do filter category mapping","sn_hr_sp_todo_filter_m2m_category","Application File","false","2024-05-16 12:11:46"
"To-do filter condition mapping","sn_hr_sp_todo_filter_m2m_condition","Application File","false","2024-05-16 12:11:45"
"To-do filters mapping","sn_hr_sp_todo_filter_m2m_filter","Application File","false","2024-05-16 12:11:45"
"Integration Data Mapping Definition","sn_ihub_data_mapping_definition","Application File","false","2024-05-16 12:09:32"
"Data import","sn_ihub_integration_instance","Application File","false","2024-05-16 12:09:32"
"Transform Definition Configuration","sn_ihub_transform_definition_whitelist","Application File","false","2024-05-16 12:09:32"
"Clone Log","sn_instance_clone_log","Log Entry","false","2024-05-16 12:30:47"
"Clone Log","sn_instance_clone_log0000","Log Entry","false","2024-05-16 12:30:48"
"Clone Log","sn_instance_clone_log0001","Log Entry","false","2024-05-16 12:30:49"
"Clone Log","sn_instance_clone_log0002","Log Entry","false","2024-05-16 12:30:49"
"Clone Log","sn_instance_clone_log0003","Log Entry","false","2024-05-16 12:30:49"
"Clone Log","sn_instance_clone_log0004","Log Entry","false","2024-05-16 12:30:49"
"Clone Log","sn_instance_clone_log0005","Log Entry","false","2024-05-16 12:30:49"
"Clone Log","sn_instance_clone_log0006","Log Entry","false","2024-05-16 12:30:49"
"Clone Log","sn_instance_clone_log0007","Log Entry","false","2024-05-16 12:30:50"
"Clone Request","sn_instance_clone_request","","false","2024-05-16 12:30:46"
"Important Action Card","sn_itam_recomm_action_card","","false","2024-05-16 12:12:18"
"Important Actions Dashboard","sn_itam_recomm_dashboard","","false","2024-05-16 12:12:18"
"Important Actions Dashboard Result","sn_itam_recomm_dashboard_result","","false","2024-05-16 12:12:18"
"Important Actions Setup","sn_itam_recomm_setup","","false","2024-05-16 12:12:17"
"Important Actions Setup Result","sn_itam_recomm_setup_result","","false","2024-05-16 12:12:17"
"Important Actions Workspace","sn_itam_recomm_workspace","","false","2024-05-16 12:12:18"
"Zero Touch Refresh Fulfillment Request","sn_itam_ztr_fulfillment_req","Task","false","2024-05-16 11:51:41"
"Knowledge Article","sn_km_mr_st_kb_knowledge","","false","2024-05-16 12:30:02"
"Context Related Record Definition","sn_m2m_context_related_record_defn","Application File","false","2024-05-16 12:30:18"
"Note Template for Table","sn_m2m_note_template_for_table","","false","2024-05-16 12:09:19"
"Static Media Section","sn_me_static_media_section","","false","2024-05-16 12:30:03"
"Topic (App Use)","sn_me_st_topic","","false","2024-05-16 12:30:03"
"Conditional Rule","sn_nb_action_conditional_rule","Recommended Action Rule","false","2024-05-16 12:25:16"
