"label","name","super_class","is_extendable","sys_updated_on"
"Record Watcher Reference Queries","sys_rw_indirect_query","","false","2024-12-02 17:25:39"
"Record Watcher Debug Traces","sys_rw_trace","","false","2024-12-02 17:25:40"
"S3 Usage Aggregation By Table","sys_s3_usage_aggregation","","false","2024-12-02 18:05:00"
"Sys Saved User Session","sys_saved_user_session","","false","2024-12-02 17:23:29"
"Scheduler Assignment","sys_scheduler_assignment","","false","2024-12-02 17:24:03"
"Scheduler Assignment View","sys_scheduler_assignment_view","","false","2024-12-02 17:24:02"
"Scheduler extra workers count","sys_scheduler_extra_workers_count","","false","2024-12-02 17:24:03"
"Scheduled Job History","sys_scheduler_job_history","","false","2024-12-02 17:42:20"
"Scheduled Job History","sys_scheduler_job_history0000","","false","2024-12-02 18:39:47"
"Scheduled Job History","sys_scheduler_job_history0001","","false","2024-12-02 18:39:48"
"Scheduled Job History","sys_scheduler_job_history0002","","false","2024-12-02 18:39:48"
"Scheduled Job History","sys_scheduler_job_history0003","","false","2024-12-02 18:39:49"
"Scheduled Job History","sys_scheduler_job_history0004","","false","2024-12-02 18:39:50"
"Scheduled Job History","sys_scheduler_job_history0005","","false","2024-12-02 18:39:50"
"Scheduled Job History","sys_scheduler_job_history0006","","false","2024-12-02 18:39:51"
"Scheduled Job History By Node","sys_scheduler_job_history_node","","false","2024-12-02 17:42:20"
"Scheduled Job History By Node","sys_scheduler_job_history_node0000","","false","2024-12-02 18:39:29"
"Scheduled Job History By Node","sys_scheduler_job_history_node0001","","false","2024-12-02 18:39:29"
"Scheduled Job History By Node","sys_scheduler_job_history_node0002","","false","2024-12-02 18:39:30"
"Scheduled Job History By Node","sys_scheduler_job_history_node0003","","false","2024-12-02 18:39:31"
"Scheduled Job History By Node","sys_scheduler_job_history_node0004","","false","2024-12-02 18:39:31"
"Scheduled Job History By Node","sys_scheduler_job_history_node0005","","false","2024-12-02 18:39:32"
"Scheduled Job History By Node","sys_scheduler_job_history_node0006","","false","2024-12-02 18:39:32"
"Scheduler Memory Pressure Job Log","sys_scheduler_memory_pressure_job_log","","false","2024-12-02 17:24:02"
"Dictionary Attribute","sys_schema_attribute","Application File","false","2024-12-02 17:23:13"
"Dictionary Attribute","sys_schema_attribute_m2m","","false","2024-12-02 17:23:12"
"Table Change","sys_schema_change","","false","2024-12-02 17:23:16"
"Application","sys_scope","Package","true","2024-12-02 17:23:08"
"Application Administration ACL Inheritance","sys_scoped_admin_acl_inheritance","Application File","false","2024-12-02 17:27:13"
"Scoped Cache","sys_scoped_cache","Application File","false","2024-12-02 17:41:40"
"Scoped Cache Table Pair","sys_scoped_cache_table_pair","Application File","false","2024-12-02 17:41:40"
"Scoped Store Plugin","sys_scoped_plugin","Package","false","2024-12-02 17:31:14"
"Design Access","sys_scope_design_access","Application File","false","2016-02-19 14:00:06"
"Scope Permission Set Role Assignment","sys_scope_permission_set_role_assignment","","false","2024-12-02 17:28:34"
"Cross scope privilege","sys_scope_privilege","Application File","false","2024-12-02 17:28:33"
"Scope Script Access","sys_scope_script_access","Application File","false","2024-12-02 17:23:30"
"Scope Table Access","sys_scope_table_access","Application File","false","2024-12-02 17:23:30"
"Business Rule","sys_script","Application File","false","2024-12-02 17:23:10"
"Scriptlet Function","sys_scriptlet_function","Application File","false","2024-12-02 17:31:07"
"Script Adapter Rule","sys_script_adapter_rule","Adapter Rule","false","2024-12-02 17:42:32"
"AJAX Script","sys_script_ajax","Application File","false","2024-12-02 17:23:10"
"Script Batch Adapter Rule","sys_script_batch_adapter_rule","Adapter Rule","false","2024-12-02 17:42:30"
"Client Script","sys_script_client","Application File","true","2024-12-02 17:23:10"
"Email Script","sys_script_email","Application File","false","2024-12-02 17:25:31"
"Script Execution History","sys_script_execution_history","","false","2024-12-02 17:30:21"
"Fix Script","sys_script_fix","Application File","false","2024-12-02 17:27:13"
"Script Include","sys_script_include","Application File","false","2024-12-02 17:23:10"
"Slow Scripts","sys_script_pattern","Slow Pattern","false","2024-12-02 17:42:22"
